time	sum_h_out_002_001
0.000000000000000e+00	-3.347257575196265e-07
4.882812480489244e-15	-3.347257575154614e-07
9.765624960978488e-15	-3.347257575154588e-07
1.953124992195698e-14	-3.347257575154028e-07
3.906249984391395e-14	-3.347257575153279e-07
7.812499968782791e-14	-3.347257575152929e-07
1.562499993756558e-13	-3.347257575153066e-07
3.124999987513116e-13	-3.347257575153101e-07
6.249999975026233e-13	-3.347257575151006e-07
1.249999995005247e-12	-3.347257575147953e-07
2.499999990010493e-12	-3.347257575141750e-07
4.999999980020986e-12	-3.347257575130578e-07
9.999999960041972e-12	-3.347257575112412e-07
1.999999992008394e-11	-3.347257575084061e-07
3.999999984016789e-11	-3.347257575042872e-07
7.999999968033578e-11	-3.347257574992583e-07
1.599999993606716e-10	-3.347257574927885e-07
3.199999987213431e-10	-3.347257574898483e-07
6.399999974426862e-10	-3.347257574997505e-07
9.999999999999999e-10	-3.347257575064643e-07
1.005723433869695e-09	-2.697320789651057e-07
1.017170301609084e-09	-1.449312864839196e-07
1.040064037087864e-09	7.676570680039659e-08
1.085851508045423e-09	4.351648604197259e-07
1.136712506380784e-09	7.397273482070488e-07
1.205372012532878e-09	1.054547829700124e-06
1.290516743838379e-09	1.338530632633848e-06
1.433682095102639e-09	1.626420356335841e-06
1.639189075795724e-09	1.788408173394938e-06
1.897867237448783e-09	1.831105752941787e-06
2.000000000000000e-09	1.832897982816982e-06
2.023917534507563e-09	1.590302471630132e-06
2.071752603522689e-09	1.170124805844204e-06
2.167422741552942e-09	5.963482259831195e-07
2.332359713791860e-09	2.459367537234496e-08
2.491320066791037e-09	-2.459701173161622e-07
2.518734305496586e-09	-2.704335954410750e-07
2.573562782907684e-09	-3.126969256066587e-07
2.683219737729880e-09	-3.698306152967673e-07
2.902533647374273e-09	-4.349528722188129e-07
3.152608194144037e-09	-4.708518415397902e-07
3.190336808637581e-09	-4.735976247199952e-07
3.265794037624668e-09	-4.782710948564609e-07
3.284658344871440e-09	-4.791629178902949e-07
3.285247854472901e-09	-4.791907162944570e-07
3.286426873675824e-09	-4.792461719530748e-07
3.286721628476555e-09	-4.792599831043837e-07
3.286795317176738e-09	-4.792634348001407e-07
3.286942694577103e-09	-4.792703360190491e-07
3.287237449377834e-09	-4.792841253639746e-07
3.287311138078017e-09	-4.792875694292021e-07
3.287458515478382e-09	-4.792944553820292e-07
3.287753270279113e-09	-4.793082142337795e-07
3.288342779880575e-09	-4.793356798365650e-07
3.289521799083498e-09	-4.793904035048210e-07
3.291879837489344e-09	-4.794990272528265e-07
3.296595914301037e-09	-4.797130303096238e-07
3.306028067924423e-09	-4.801284329306129e-07
3.324892375171195e-09	-4.809114984651519e-07
3.362620989664739e-09	-4.823038831256568e-07
3.372053143288125e-09	-4.826115141687646e-07
3.374411181693971e-09	-4.826876365755508e-07
3.379127258505664e-09	-4.828383520927285e-07
3.388559412129050e-09	-4.831304876699412e-07
3.390917450534896e-09	-4.832012472940853e-07
3.395633527346589e-09	-4.833412751783646e-07
3.405065680969975e-09	-4.836124867426083e-07
3.423929988216747e-09	-4.841204395038178e-07
3.461658602710291e-09	-4.850048230542676e-07
3.462837621913214e-09	-4.850296091580090e-07
3.465195660319061e-09	-4.850788583325073e-07
3.465785169920522e-09	-4.850910496690481e-07
3.466964189123445e-09	-4.851153519360941e-07
3.467258943924176e-09	-4.851213973714953e-07
3.467848453525638e-09	-4.851334681813474e-07
3.469027472728561e-09	-4.851574895644189e-07
3.471385511134407e-09	-4.852050526250817e-07
3.476101587946100e-09	-4.852982696316389e-07
3.485533741569486e-09	-4.854771438764620e-07
3.504398048816258e-09	-4.858052587965155e-07
3.542126663309802e-09	-4.863477713814276e-07
3.551558816933188e-09	-4.864559581640806e-07
3.570423124179960e-09	-4.866553273756532e-07
3.608151738673503e-09	-4.869531879378698e-07
3.617583892296889e-09	-4.870036959645400e-07
3.636448199543661e-09	-4.870896832019118e-07
3.674176814037205e-09	-4.871757689833473e-07
3.749634043024292e-09	-4.870432896526247e-07
3.768498350271064e-09	-4.869415604720762e-07
3.806226964764608e-09	-4.867003042248807e-07
3.815659118387994e-09	-4.866254499057696e-07
3.818017156793841e-09	-4.866064600957821e-07
3.822733233605533e-09	-4.865679309939410e-07
3.822880611005898e-09	-4.865667087322589e-07
3.823175365806629e-09	-4.865642621564866e-07
3.823249054506812e-09	-4.865636497167483e-07
3.823267476681858e-09	-4.865634965928582e-07
3.823304321031949e-09	-4.865631903069604e-07
3.823313532119472e-09	-4.865631137229400e-07
3.823331954294517e-09	-4.865629605466399e-07
3.823332529987487e-09	-4.865629557595551e-07
3.823332673910730e-09	-4.865629545627692e-07
3.823332674472930e-09	-4.865629545581160e-07
3.823334537118079e-09	-4.865629390653518e-07
3.823334817862656e-09	-4.865629367309782e-07
3.823334821500635e-09	-4.865629367007337e-07
3.823334825138614e-09	-4.865629366701169e-07
3.823335057969258e-09	-4.865629347335228e-07
3.823335523630545e-09	-4.865629308610654e-07
