time	sum_h_out_002_001
0.000000000000000e+00	8.859044297601907e-03
9.765624960978488e-15	8.859044297601908e-03
1.953124992195698e-14	8.859044297601910e-03
3.906249984391395e-14	8.859044297601915e-03
7.812499968782791e-14	8.859044297601917e-03
1.562499993756558e-13	8.859044297601914e-03
3.124999987513116e-13	8.859044297601922e-03
6.249999975026233e-13	8.859044297601966e-03
1.249999995005247e-12	8.859044297602163e-03
2.499999990010493e-12	8.859044297603012e-03
4.999999980020986e-12	8.859044297606429e-03
9.999999960041972e-12	8.859044297619568e-03
1.999999992008394e-11	8.859044297667013e-03
3.999999984016789e-11	8.859044297824595e-03
7.999999968033578e-11	8.859044298286304e-03
1.599999993606716e-10	8.859044299392568e-03
3.199999987213431e-10	8.859044301302705e-03
6.399999974426862e-10	8.859044303174683e-03
9.999999999999999e-10	8.859044303455736e-03
1.004109917391950e-09	8.859045020452467e-03
1.012329752175849e-09	8.859049052323814e-03
1.028769421743649e-09	8.859082956639048e-03
1.061648760879248e-09	8.859312263677777e-03
1.115410007204593e-09	8.860198421291435e-03
1.171731279365302e-09	8.861615995481527e-03
1.252160411294094e-09	8.863305878296656e-03
1.359165163628085e-09	8.860213422194533e-03
1.548288000476344e-09	8.800755797078222e-03
1.776761821291760e-09	8.520986801420018e-03
2.000000000000000e-09	7.866975872336847e-03
2.030277157503793e-09	7.736573444027291e-03
2.090831472511380e-09	7.454652083529491e-03
2.211940102526552e-09	6.760616971067432e-03
2.233462857240335e-09	6.616013802766998e-03
2.276508366667901e-09	6.315584102508235e-03
2.287269744024792e-09	6.236277161528253e-03
2.308792498738575e-09	6.074886534229031e-03
2.351838008166141e-09	5.735609164765993e-03
2.353183180335752e-09	5.724643674129043e-03
2.353519473378155e-09	5.721900982018148e-03
2.353603546638756e-09	5.721215226529202e-03
2.353624564953906e-09	5.721043782503209e-03
2.353624647056700e-09	5.721043112799905e-03
2.353684251701475e-09	5.720556893292524e-03
2.353743856346251e-09	5.720070642702681e-03
2.353863065635802e-09	5.719098017197110e-03
2.354101484214903e-09	5.717152268924122e-03
2.354578321373106e-09	5.713258783718519e-03
2.355531995689512e-09	5.705463861783654e-03
2.357439344322325e-09	5.689842236926630e-03
2.361254041587950e-09	5.658472067313861e-03
2.368883436119200e-09	5.595225735506879e-03
2.384142225181700e-09	5.466723493590771e-03
2.414659803306700e-09	5.201809956365290e-03
2.475694959556700e-09	4.641588100055596e-03
2.597765272056700e-09	3.411924376548032e-03
2.841905897056700e-09	6.269481408253425e-04
3.067275859558731e-09	-2.187117226038812e-03
3.104895466648856e-09	-2.670097788685055e-03
3.180134680829108e-09	-3.638072348914907e-03
3.198944484374170e-09	-3.880666915806168e-03
3.236564091464296e-09	-4.365961235491688e-03
3.245968993236827e-09	-4.487308164486972e-03
3.264778796781890e-09	-4.729985941985016e-03
3.302398403872015e-09	-5.215130644557206e-03
3.311803305644547e-09	-5.336336342527668e-03
3.330613109189609e-09	-5.578667750504977e-03
3.368232716279735e-09	-6.062755500699601e-03
3.443471930459986e-09	-7.027772111568346e-03
3.462281734005049e-09	-7.268078351476397e-03
3.499901341095175e-09	-7.747917193400415e-03
3.509306242867706e-09	-7.867579173661364e-03
3.528116046412769e-09	-8.106689844577322e-03
3.565735653502894e-09	-8.583578987740599e-03
3.640974867683146e-09	-9.531563330589451e-03
3.659784671228208e-09	-9.767026605332848e-03
3.697404278318334e-09	-1.023685735208984e-02
3.772643492498585e-09	-1.116972073992540e-02
3.791453296043648e-09	-1.140118538394686e-02
3.796155746929913e-09	-1.145901398460454e-02
3.805560648702445e-09	-1.157459583314095e-02
3.807911874145578e-09	-1.160346299918551e-02
3.812614325031843e-09	-1.166117838921838e-02
