time	final_out
0.000000000000000e+00	3.035408783764057e-03
4.882812480489244e-15	3.035408783764267e-03
9.765624960978488e-15	3.035408783764351e-03
1.953124992195698e-14	3.035408783764374e-03
3.906249984391395e-14	3.035408783764554e-03
7.812499968782791e-14	3.035408783766179e-03
1.562499993756558e-13	3.035408783769199e-03
3.124999987513116e-13	3.035408783774346e-03
6.249999975026233e-13	3.035408783785303e-03
1.249999995005247e-12	3.035408783808737e-03
2.499999990010493e-12	3.035408783853054e-03
4.999999980020986e-12	3.035408783931458e-03
9.999999960041972e-12	3.035408784066676e-03
1.999999992008394e-11	3.035408784305702e-03
3.999999984016789e-11	3.035408784727612e-03
7.999999968033578e-11	3.035408785440061e-03
1.599999993606716e-10	3.035408786519566e-03
3.199999987213431e-10	3.035408787691218e-03
6.399999974426862e-10	3.035408787596914e-03
9.999999999999999e-10	3.035408785396197e-03
1.005723433871515e-09	3.035408785350861e-03
1.017170301614546e-09	3.035408785259463e-03
1.040064037100608e-09	3.035408785075665e-03
1.085851508072732e-09	3.035408784705180e-03
1.136712506414506e-09	3.035408784293332e-03
1.205372012585057e-09	3.035408783741193e-03
1.290516743910240e-09	3.035408783067236e-03
1.433682095235954e-09	3.035408781975587e-03
1.639189075972184e-09	3.035408780562353e-03
1.897867237675027e-09	3.035408779089303e-03
2.000000000000000e-09	3.035408778603841e-03
2.023917534513948e-09	3.035408778503546e-03
2.071752603541846e-09	3.035408778311323e-03
2.167422741597640e-09	3.035408777962781e-03
2.332359713951085e-09	3.035408777465573e-03
2.491320066933629e-09	3.035408777160087e-03
2.518734305642652e-09	3.035408777131226e-03
2.573562783060698e-09	3.035408777091240e-03
2.683219737896791e-09	3.035408777088566e-03
2.902533647568977e-09	3.035408776696241e-03
3.152608194449707e-09	3.035408773391768e-03
3.190336808941064e-09	3.035408772379046e-03
3.265794037923777e-09	3.035408770032694e-03
3.284658345169456e-09	3.035408769327046e-03
3.285247854770883e-09	3.035408769305106e-03
3.286426873973738e-09	3.035408769260984e-03
3.286721628774452e-09	3.035408769250163e-03
3.286795317474630e-09	3.035408769247134e-03
3.286942694874987e-09	3.035408769241228e-03
3.287237449675700e-09	3.035408769229863e-03
3.287311138375879e-09	3.035408769227010e-03
3.287458515776236e-09	3.035408769221405e-03
3.287753270576949e-09	3.035408769210332e-03
3.288342780178377e-09	3.035408769188082e-03
3.289521799381231e-09	3.035408769143899e-03
3.291879837786941e-09	3.035408769055700e-03
3.296595914598361e-09	3.035408768874432e-03
3.306028068221200e-09	3.035408768502489e-03
3.324892375466879e-09	3.035408767734112e-03
3.362620989958235e-09	3.035408766104469e-03
3.372053143581075e-09	3.035408765675135e-03
3.374411181986784e-09	3.035408765566918e-03
3.379127258798204e-09	3.035408765349762e-03
3.388559412421043e-09	3.035408764912835e-03
3.390917450826753e-09	3.035408764802903e-03
3.395633527638173e-09	3.035408764583145e-03
