time	final_out
0.000000000000000e+00	1.283939193397414e+00
9.765624960978488e-15	1.283939193397414e+00
1.953124992195698e-14	1.283939193397414e+00
3.906249984391395e-14	1.283939193397414e+00
7.812499968782791e-14	1.283939193397414e+00
1.562499993756558e-13	1.283939193397415e+00
3.124999987513116e-13	1.283939193397415e+00
6.249999975026233e-13	1.283939193397415e+00
1.249999995005247e-12	1.283939193397415e+00
2.499999990010493e-12	1.283939193397416e+00
4.999999980020986e-12	1.283939193397416e+00
9.999999960041972e-12	1.283939193397417e+00
1.999999992008394e-11	1.283939193397417e+00
3.999999984016789e-11	1.283939193397417e+00
7.999999968033578e-11	1.283939193397415e+00
1.599999993606716e-10	1.283939193397411e+00
3.199999987213431e-10	1.283939193397401e+00
6.399999974426862e-10	1.283939193397394e+00
9.999999999999999e-10	1.283939193397420e+00
1.063999999744268e-09	1.283939193397428e+00
1.191999999232806e-09	1.283939193397444e+00
1.447999998209880e-09	1.283939193397482e+00
1.959999996164029e-09	1.283939193406828e+00
2.000000000000000e-09	1.283939193408404e+00
2.080000007671941e-09	1.283939193413333e+00
2.240000023015823e-09	1.283939193427615e+00
2.560000053703587e-09	1.283939193520200e+00
3.200000115079116e-09	1.283939195790078e+00
4.176562615079116e-09	1.283939240701930e+00
5.153125115079116e-09	1.283939472558955e+00
6.129687615079115e-09	1.283940213007934e+00
7.106250115079115e-09	1.283941958161225e+00
8.082812615079116e-09	1.283945278673976e+00
9.059375115079116e-09	1.283950675832778e+00
1.003593761507912e-08	1.283958463403811e+00
1.100000000000000e-08	1.283968563064799e+00
1.109765625000000e-08	1.283969729141552e+00
1.129296875000000e-08	1.283972108474277e+00
1.168359375000000e-08	1.283977233694838e+00
1.200000000000000e-08	1.283981933355815e+00
1.206601920806123e-08	1.283983023319469e+00
1.219805762418370e-08	1.283985292303980e+00
1.246213445642863e-08	1.283990407852149e+00
1.299028812091850e-08	1.284002445042526e+00
1.370166847282703e-08	1.284018556824945e+00
1.467823097282703e-08	1.284031682124184e+00
1.565479347282703e-08	1.284032514665373e+00
1.663135597282703e-08	1.284025607928672e+00
1.760791847282703e-08	1.284015692436594e+00
1.858448097282703e-08	1.284005926820838e+00
1.956104347282703e-08	1.283997772663758e+00
2.053760597282703e-08	1.283991276325629e+00
2.151416847282703e-08	1.283986574645227e+00
2.249073097282703e-08	1.283984401385329e+00
2.346729347282703e-08	1.283985512891958e+00
2.444385597282703e-08	1.283990189056187e+00
2.542041847282703e-08	1.283998270919381e+00
2.639698097282703e-08	1.284009272579988e+00
2.737354347282703e-08	1.284022441484902e+00
2.835010597282703e-08	1.284036939285286e+00
2.932666847282703e-08	1.284051970501104e+00
3.030323097282703e-08	1.284066838347644e+00
3.127979347282703e-08	1.284080973530182e+00
3.225635597282703e-08	1.284093932233768e+00
3.323291847282702e-08	1.284105390548833e+00
3.420948097282702e-08	1.284115132724794e+00
3.518604347282702e-08	1.284123036187099e+00
3.616260597282702e-08	1.284129057609106e+00
3.713916847282701e-08	1.284133218196525e+00
3.811573097282701e-08	1.284135590579689e+00
3.909229347282701e-08	1.284136286624309e+00
4.006885597282700e-08	1.284135446364300e+00
4.104541847282700e-08	1.284133228412156e+00
4.202198097282700e-08	1.284129801554986e+00
4.299854347282700e-08	1.284125337792619e+00
4.397510597282699e-08	1.284120006670615e+00
4.495166847282699e-08	1.284113970860660e+00
4.592823097282699e-08	1.284107382916098e+00
4.690479347282699e-08	1.284100383033567e+00
4.788135597282698e-08	1.284093097709067e+00
4.885791847282698e-08	1.284085639121771e+00
4.983448097282698e-08	1.284078105103580e+00
5.081104347282697e-08	1.284070579559346e+00
5.178760597282697e-08	1.284063133210854e+00
5.276416847282697e-08	1.284055824562161e+00
5.374073097282697e-08	1.284048700996481e+00
5.471729347282696e-08	1.284041799934420e+00
5.569385597282696e-08	1.284035149999624e+00
5.667041847282696e-08	1.284028772150885e+00
5.764698097282696e-08	1.284022680753357e+00
5.862354347282695e-08	1.284016884570302e+00
5.960010597282695e-08	1.284011387665490e+00
6.057666847282695e-08	1.284006190211965e+00
6.155323097282694e-08	1.284001289207675e+00
6.252979347282694e-08	1.283996679101338e+00
6.350635597282694e-08	1.283992352334307e+00
